Number,Tweet Content
122,What if your on US central time?
123,I am quite intrigued by what I’ve seen so far. I’ve not played the previous two and might pull the trigger on numero tres.
124,What about mac ?
125,will there be preloading?
126,"8 AM
I'll be too excited and be awake anyways!"
127,With controller support?
128,Thank you for the birthday gift! I cannot wait to get lost in this game for days.
129,"I was worried I wouldn't even be able to run the early access, I had to cap framerate at 240"
130,Is the rest of the UK the same as Dublin?
131,Thanks for the map ??
132,Pre load?
133,When is my Collector’s Edition arriving?
134,12PM for Brazil means it will launch at august 4th?
135,any performance improvements in the release patch? Steam Deck users here
136,11am works for me. Vacation day approved.
137,"Dublin 4PM, got it!  Can not wait!"
138,I just want to play as a Dragon. They do have different colors right? all the videos i saw were all albino looking dragons.
139,Is this for both GOG and Steam?
140,Are these times the same for the Mac OS version?
141,"Hello, it's possible to talk with you in privte message please ? Ty "
142,Why not midnight??
143,When is the Mac launch?
144,Why is this not on the steam store page? :-/
145,"I'm jumping in, new to D&D, but was so impressed with what I've seen. Hope I'll have fun. Good luck with the launch of the game!"
146,No midnight launch (at least not for UK)
147,"Well, I am going on my holiday so won't be able to play on launch, but I will be looking forward to playing once I come back <3"
148,Will be taking a day off on the 4th
149,??!!!!
150,Gotta wait for PS5
151,Yeeees let's goooo
152,But but but what about pre LOAD?
153,early access players get it 3 days early on july 31st tho right?
154,How much larger is the full game than the early access in GB?
155,"Ohhh 2 hours earlier than expected, I'm here for it!"
156,Pre load?
157,"I was going to buy your games, but I wouldn't! my continent is not present!
Why ?
there is a continent called ""AFRICA""
it's discrimination !??????????????????????"
158,We need them pre load. Its armageddon on 3rd
159,Can't waiiiiiiiit!!!!!
160,Please let us preload
161,*looks at the time and day in Kuala Lumpur* - dammit. XD I'm gonna be kept busy for a while. You guys saved me from spending money on mtg XD
162,I love that you included Québec! I know you have a studio there but still took the time to write it even if it's the same timezone as New York! <3
163,Poor Perth always ignored ??
164,We will be ready
165,one week has never felt so long
166,No one cares about South Asia ??
167,What the pre-load time will be?
168,I loveeeeee everything so far but really wish the hair didnt clip and wish I could change my horn colour
169,"Can I be a hybrid class, like a mage with rogue tendencies?"
170,So Europe is 5 PM?
171,If this game sucks I’m gonna kill myself fr this time
172,Does that apply for GOG/Galaxy too?
173,When will the collectors edition ship?
174,Please release on xbox please. Don’t give up on trying to make it work I believe in you guys!
175,Will there be a preload type option?
176,Is there a preload Option? ??
177,"Pity us Aussies need to wait until 1am on Friday, urgh, what a punish."
178,Why no Xbox version? Is this another instance of Sony paying for console exclusivity?
179,Wish to watch some gameplay on ps5 ??
180,Just a friendly reminder; the US Midwest still exists and has it's own time zone. ??
181,Skipped a full Continent??
182,"Hello, can you use the game data from the Early Access for the final game? In other words, is it worth downloading 80 GB now via Steam and then the rest on August 3rd?"
183,wym 12pm in Rio
184,Polish dubbing please!
185,"Bought DOS2 on PC
BG3 on PS5
Make sure PS5 version will be perfectly playable and smooth, without any major graphics or performance compromises!
Also please add optional 120 FPS Mode on PS5 for those with 120 Hz VRR HDMI 2.1 TVs! It will be really cool to have!
Don't screw up Ps5"
186,When will I be getting the confirmation email for my CE shipment? Had an email saying I would have to still confirm my address for it
187,Question: why Gent?
188,Does that mean that in Japan it will be released on August 4th????????
189,Will there be discount for steam? If not i will buy it right away.
190,"Oh hey that's exactly what I was looking for. Cool to see that I'll have a few hours before work to play it.

Thanks!"
191,cry oh why … I was hopeing for a 0:00 CEST release
192,"Will there be pre download, or if we have the ea downloaded will it be just update or what? Can you guys explain this?"
193,i don’t get it
194,Using Dublin instead of London for GMT
195,5pm but thats for the downloading start ??
196,this
197,New Zealand on a map! Larian does it again. ??
198,Can't believe PS5 has to wait ??
199,11 pm kuala lumpur. Godam imma just download the monster and play in the morning.
200,Will there be pre download available so I can play it as soon as it’s 8 am on the west coast?
201,"Is it time? It's time, isn't it?"
202,"if you have the early access downloaded, will that just patch or should we uninstall that?"
203,"Are Pre-Downloads possible? My Internet is atrcocious to put it mildly, so if that is not the case I probably wont play it on launch-day"
204,Anyway to preload the game on GOG?
205,cant wait release this weekend pls.
206,thirty minutes!
207,Why no preload?
208,Wow Quebec on the map ! Not use to see that <3 ??
209,So hyped that I customize characters in AI
210,"See you guys Aug 4th.

Probably 5th with Australian country download speeds ??"
211,"I am a Korean buyer.
I don't know English well, so I turned on Google Translate.

Currently, Baldur's Gate 3 is selling well in Korea, so

Can you provide Korean support?"
212,12PM
213,"So you dont talk about the Xbox version anymore?
Youre waiting the PS5 launch. And then the pub contract is down…"
214,Realizing it's been early access for 3 years…
215,Wasn't purchasing the early access at the full price supposed to get us 3 days early? As well as the digital deluxe extras? When and how is that supposed to go live
216,"Don't know if this has been asked, Will the full release take up the entire 150gb recommended? Or is it just like Early access where it uses  around 80gb-ish (full release is probably bigger) the extra gb's as buffer?"
217,Get +2 on your ranged attack rolls with High Ground!
218,The game is crossplay? Can play on ps5 with my friends on pc?
219,Could we have an update about what’s happening with the mac version ?
220,Will we be able to pre-download the launch patch?
221,Already have almost 500 hours with just early access alone I can’t wait to see how full release turns out ??
222,hope the unmovable npcs bug is fix
223,Québec mentioned
224,Bear seggsssss
225,How long do Xbox players have to wait?
226,"So this will be at 10 a.m. for me on August 3rd 

(Easiest way I know is Gent Belgium is 7 hours ahead of me)"
